vars,id,creation_time,failed,failed_reason,time_of_death,type,max_size,full,role,n_pending_infos,n_completed_infos,n_failed_infos,n_alive_nodes,n_failed_nodes,trial_maker_id,module_id,target_n_trials,participant_group,sync_group_type,sync_group_id,participant_id,async_post_grow_network_required,async_post_grow_network_requested,async_post_grow_network_complete,async_post_grow_network_failed,id_within_participant,n_all_trials,n_alive_trials,n_failed_trials,n_completed_trials,n_all_nodes,chain_type,head_id,trials_per_node,definition,context,block,class,object_type
{},1,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,4,0,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,4,4,0,4,5,across,374,1,{},,cooking,ImitationChainNetwork,Network
{},2,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,4,0,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,4,4,0,4,5,across,409,1,{},,cooking,ImitationChainNetwork,Network
{},3,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,4,0,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,4,4,0,4,5,across,372,1,{},,cooking,ImitationChainNetwork,Network
{},4,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,4,0,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,4,4,0,4,5,across,362,1,{},,cooking,ImitationChainNetwork,Network
{},5,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,4,0,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,4,4,0,4,5,across,397,1,{},,cooking,ImitationChainNetwork,Network
{},6,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,4,0,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,4,4,0,4,5,across,410,1,{},,cooking,ImitationChainNetwork,Network
{},7,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,4,1,5,1,chain_trial,chain_trial,4,default,,,,False,False,False,False,,5,4,1,4,6,across,359,1,{},,cooking,ImitationChainNetwork,Network
{},8,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,4,1,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,5,4,1,4,5,across,386,1,{},,cooking,ImitationChainNetwork,Network
{},9,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,4,1,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,5,4,1,4,5,across,395,1,{},,cooking,ImitationChainNetwork,Network
{},10,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,4,0,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,4,4,0,4,5,across,358,1,{},,cooking,ImitationChainNetwork,Network
{},11,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,4,1,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,5,4,1,4,5,across,394,1,{},,cooking,ImitationChainNetwork,Network
{},12,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,3,1,4,1,chain_trial,chain_trial,4,default,,,,False,False,False,False,,4,3,1,3,5,across,279,1,{},,cooking,ImitationChainNetwork,Network
{},13,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,4,0,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,4,4,0,4,5,across,364,1,{},,cooking,ImitationChainNetwork,Network
{},14,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,3,1,4,1,chain_trial,chain_trial,4,default,,,,False,False,False,False,,4,3,1,3,5,across,302,1,{},,cooking,ImitationChainNetwork,Network
{},15,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,4,1,5,1,chain_trial,chain_trial,4,default,,,,False,False,False,False,,5,4,1,4,6,across,387,1,{},,cooking,ImitationChainNetwork,Network
{},16,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,4,1,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,5,4,1,4,5,across,344,1,{},,cooking,ImitationChainNetwork,Network
{},17,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,4,0,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,4,4,0,4,5,across,382,1,{},,cooking,ImitationChainNetwork,Network
{},18,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,4,0,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,4,4,0,4,5,across,352,1,{},,cooking,ImitationChainNetwork,Network
{},19,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,4,0,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,4,4,0,4,5,across,348,1,{},,cooking,ImitationChainNetwork,Network
{},20,2025-12-01 09:14:36,False,,,ImitationChainNetwork,4,True,default,0,4,0,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,4,4,0,4,5,across,341,1,{},,cooking,ImitationChainNetwork,Network
