vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,class,object_type
{},2025-12-01 17:42:07,False,,,1,consent,1,2025-12-01 17:42:07,2025-12-01 17:42:17,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:42:17,False,,,2,instructions,1,2025-12-01 17:42:17,2025-12-01 17:44:26,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:42:20,False,,,3,consent,2,2025-12-01 17:42:20,2025-12-01 17:42:30,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:42:30,False,,,4,instructions,2,2025-12-01 17:42:30,2025-12-01 17:43:50,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:43:37,False,,,5,consent,3,2025-12-01 17:43:37,2025-12-01 17:43:40,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:43:41,False,,,6,instructions,3,2025-12-01 17:43:41,2025-12-01 17:44:44,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:43:50,False,,,7,practice_rounds,2,2025-12-01 17:43:50,,,True,False,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:44:26,False,,,8,practice_rounds,1,2025-12-01 17:44:26,,,True,False,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:44:44,False,,,9,practice_rounds,3,2025-12-01 17:44:44,2025-12-01 17:59:04,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:45:34,False,,,10,consent,4,2025-12-01 17:45:34,2025-12-01 17:45:50,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:45:50,False,,,11,instructions,4,2025-12-01 17:45:50,,,True,False,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:46:08,False,,,12,consent,5,2025-12-01 17:46:08,2025-12-01 17:46:10,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:46:10,False,,,13,instructions,5,2025-12-01 17:46:10,2025-12-01 17:47:50,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:47:03,False,,,14,consent,6,2025-12-01 17:47:03,2025-12-01 17:47:18,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:47:18,False,,,15,instructions,6,2025-12-01 17:47:18,2025-12-01 17:47:49,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:47:49,False,,,16,practice_rounds,6,2025-12-01 17:47:49,2025-12-01 17:52:53,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:47:50,False,,,17,practice_rounds,5,2025-12-01 17:47:50,,,True,False,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:47:55,False,,,18,consent,7,2025-12-01 17:47:55,2025-12-01 17:48:19,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:48:19,False,,,19,instructions,7,2025-12-01 17:48:19,2025-12-01 17:49:36,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:48:19,False,,,20,consent,8,2025-12-01 17:48:19,2025-12-01 17:48:24,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:48:24,False,,,21,consent,9,2025-12-01 17:48:24,2025-12-01 17:48:44,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:48:24,False,,,22,instructions,8,2025-12-01 17:48:24,2025-12-01 17:51:41,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:48:44,False,,,23,instructions,9,2025-12-01 17:48:44,2025-12-01 17:50:15,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:49:34,False,,,24,consent,10,2025-12-01 17:49:34,2025-12-01 17:50:43,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:49:36,False,,,25,practice_rounds,7,2025-12-01 17:49:36,2025-12-01 17:53:04,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:50:15,False,,,26,practice_rounds,9,2025-12-01 17:50:15,2025-12-01 17:53:17,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:50:35,False,,,27,consent,11,2025-12-01 17:50:35,2025-12-01 17:51:27,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:50:43,False,,,28,instructions,10,2025-12-01 17:50:43,2025-12-01 17:54:25,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:51:27,False,,,29,instructions,11,2025-12-01 17:51:27,2025-12-01 17:52:22,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:51:41,False,,,30,practice_rounds,8,2025-12-01 17:51:41,,,True,False,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:52:22,False,,,31,practice_rounds,11,2025-12-01 17:52:22,2025-12-01 17:56:27,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:52:31,False,,,32,consent,12,2025-12-01 17:52:31,2025-12-01 17:53:31,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:52:53,False,,,33,chain_instructions,6,2025-12-01 17:52:53,2025-12-01 17:53:13,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:53:04,False,,,34,chain_instructions,7,2025-12-01 17:53:04,2025-12-01 17:53:30,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:53:17,False,,,36,chain_instructions,9,2025-12-01 17:53:17,2025-12-01 17:53:35,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:53:31,False,,,38,instructions,12,2025-12-01 17:53:31,2025-12-01 17:54:51,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:54:00,False,,,40,consent,13,2025-12-01 17:54:00,2025-12-01 17:54:15,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:54:15,False,,,41,instructions,13,2025-12-01 17:54:15,2025-12-01 17:57:04,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:54:25,False,,,42,practice_rounds,10,2025-12-01 17:54:25,2025-12-01 18:08:07,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:54:51,False,,,43,practice_rounds,12,2025-12-01 17:54:51,2025-12-01 17:57:35,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:56:27,False,,,44,individual_instructions,11,2025-12-01 17:56:27,2025-12-01 17:56:34,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:57:04,False,,,46,practice_rounds,13,2025-12-01 17:57:04,2025-12-01 18:03:50,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:57:36,False,,,47,individual_instructions,12,2025-12-01 17:57:36,2025-12-01 17:58:03,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 17:59:04,False,,,49,chain_instructions,3,2025-12-01 17:59:04,2025-12-01 17:59:13,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:03:29,False,,,51,consent,14,2025-12-01 18:03:29,2025-12-01 18:03:35,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:03:35,False,,,52,instructions,14,2025-12-01 18:03:35,2025-12-01 18:05:04,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:03:50,False,,,53,chain_instructions,13,2025-12-01 18:03:50,2025-12-01 18:04:48,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:04:25,False,,,54,consent,15,2025-12-01 18:04:25,2025-12-01 18:04:43,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:04:43,False,,,55,instructions,15,2025-12-01 18:04:43,2025-12-01 18:06:29,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:04:53,False,,,57,consent,16,2025-12-01 18:04:53,2025-12-01 18:04:58,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:04:58,False,,,58,instructions,16,2025-12-01 18:04:58,2025-12-01 18:06:09,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:05:04,False,,,59,practice_rounds,14,2025-12-01 18:05:04,2025-12-01 18:07:39,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:06:01,False,,,60,consent,17,2025-12-01 18:06:01,2025-12-01 18:06:16,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:06:09,False,,,61,practice_rounds,16,2025-12-01 18:06:09,2025-12-01 18:12:06,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:06:16,False,,,62,instructions,17,2025-12-01 18:06:16,2025-12-01 18:07:28,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:06:29,False,,,63,practice_rounds,15,2025-12-01 18:06:29,,,True,False,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:06:59,False,,,64,consent,18,2025-12-01 18:06:59,2025-12-01 18:07:14,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:07:14,False,,,65,instructions,18,2025-12-01 18:07:14,2025-12-01 18:12:30,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:07:28,False,,,66,practice_rounds,17,2025-12-01 18:07:28,2025-12-01 18:15:52,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:07:39,False,,,67,chain_instructions,14,2025-12-01 18:07:39,2025-12-01 18:07:56,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:08:07,False,,,69,individual_instructions,10,2025-12-01 18:08:07,2025-12-01 18:08:45,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:12:06,False,,,71,chain_instructions,16,2025-12-01 18:12:06,2025-12-01 18:12:50,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:12:30,False,,,72,practice_rounds,18,2025-12-01 18:12:30,2025-12-01 18:15:14,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:13:54,False,,,74,consent,19,2025-12-01 18:13:54,2025-12-01 18:14:22,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:14:22,False,,,75,instructions,19,2025-12-01 18:14:22,2025-12-01 18:17:41,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:15:14,False,,,76,chain_instructions,18,2025-12-01 18:15:14,2025-12-01 18:15:34,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:15:52,False,,,78,individual_instructions,17,2025-12-01 18:15:52,2025-12-01 18:16:08,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:17:41,False,,,80,practice_rounds,19,2025-12-01 18:17:41,,,True,False,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:18:22,False,,,81,consent,20,2025-12-01 18:18:22,2025-12-01 18:18:35,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:18:35,False,,,82,instructions,20,2025-12-01 18:18:35,2025-12-01 18:20:51,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:20:22,False,,,83,consent,21,2025-12-01 18:20:22,2025-12-01 18:21:13,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:20:51,False,,,84,practice_rounds,20,2025-12-01 18:20:51,,,True,False,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:20:51,False,,,85,consent,22,2025-12-01 18:20:51,2025-12-01 18:21:33,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:21:13,False,,,86,instructions,21,2025-12-01 18:21:13,2025-12-01 18:21:37,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:21:33,False,,,87,instructions,22,2025-12-01 18:21:33,2025-12-01 18:27:33,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:21:37,False,,,88,practice_rounds,21,2025-12-01 18:21:37,,,True,False,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:26:36,False,,,89,consent,23,2025-12-01 18:26:36,2025-12-01 18:27:02,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:27:02,False,,,90,instructions,23,2025-12-01 18:27:02,2025-12-01 18:28:46,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:27:33,False,,,91,practice_rounds,22,2025-12-01 18:27:33,,,True,False,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:28:46,False,,,92,practice_rounds,23,2025-12-01 18:28:46,,,True,False,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:32:15,False,,,93,consent,24,2025-12-01 18:32:15,2025-12-01 18:32:22,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:32:22,False,,,94,instructions,24,2025-12-01 18:32:22,2025-12-01 18:33:22,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:33:22,False,,,95,practice_rounds,24,2025-12-01 18:33:22,2025-12-01 18:34:50,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:33:33,False,,,96,consent,25,2025-12-01 18:33:33,2025-12-01 18:35:16,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:34:50,False,,,97,chain_instructions,24,2025-12-01 18:34:50,2025-12-01 18:35:06,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:34:52,False,,,98,consent,26,2025-12-01 18:34:52,2025-12-01 18:36:23,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:35:16,False,,,100,instructions,25,2025-12-01 18:35:16,2025-12-01 18:45:55,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:36:23,False,,,101,instructions,26,2025-12-01 18:36:23,2025-12-01 18:39:38,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:38:46,False,,,102,consent,27,2025-12-01 18:38:46,2025-12-01 18:38:59,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:38:59,False,,,103,instructions,27,2025-12-01 18:38:59,2025-12-01 18:49:42,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:39:38,False,,,104,practice_rounds,26,2025-12-01 18:39:38,2025-12-01 18:42:46,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:40:50,False,,,105,consent,28,2025-12-01 18:40:50,2025-12-01 18:40:57,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:40:57,False,,,106,instructions,28,2025-12-01 18:40:57,2025-12-01 18:41:47,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:41:47,False,,,107,practice_rounds,28,2025-12-01 18:41:47,2025-12-01 18:48:06,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:42:46,False,,,108,chain_instructions,26,2025-12-01 18:42:46,2025-12-01 18:43:14,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:45:48,False,,,110,consent,29,2025-12-01 18:45:48,2025-12-01 18:45:58,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:45:55,False,,,111,practice_rounds,25,2025-12-01 18:45:55,2025-12-01 18:48:38,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:45:58,False,,,112,instructions,29,2025-12-01 18:45:58,2025-12-01 18:47:08,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:47:08,False,,,113,practice_rounds,29,2025-12-01 18:47:08,2025-12-01 18:54:40,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:48:06,False,,,114,chain_instructions,28,2025-12-01 18:48:06,2025-12-01 18:48:15,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-12-01 18:48:38,False,,,116,chain_instructions,25,2025-12-01 18:48:38,2025-12-01 18:49:05,,True,True,False,ModuleState,ModuleState,ModuleState
