id,creation_time,failed,failed_reason,time_of_death,property1,property2,property3,property4,property5,details,assignment_id,event_type,class
1,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMAREuLQD5Ag==""]]}",False,,,,,,,,{},692dd3f3d29f653e2fb9a1c9,AssignmentReturned,Notification
2,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMAREvDg0YMQ==""]]}",False,,,,,,,,{},692dd35c3c21e34baa70a2a0,AssignmentReturned,Notification
3,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMAREwDg0BVQ==""]]}",False,,,,,,,,{},692dd35891b1189e20a446f7,AssignmentReturned,Notification
4,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMAREyEAExGA==""]]}",False,,,,,,,,{},692dd44d69936c25b58d59d2,AssignmentReturned,Notification
5,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMARE2Dg2lIQ==""]]}",False,,,,,,,,{},692dd4cd451499cf043cedea,AssignmentReturned,Notification
6,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMARIIJQMCfA==""]]}",False,,,,,,,,{},692dd53b292bba3e4067521b,RecruiterSubmissionComplete,Notification
7,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMARIILA2hyQ==""]]}",False,,,,,,,,{},692dd624c4ec5b3d9748ab63,AssignmentReturned,Notification
8,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMARIJLA3FiA==""]]}",False,,,,,,,,{},692dd86351593d0652c1e043,AssignmentReturned,Notification
9,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMARINNQXWdw==""]]}",False,,,,,,,,{},692dd470a31872269d3c429b,RecruiterSubmissionComplete,Notification
10,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kMARIUKQX0LA==""]]}",False,,,,,,,,{},692dd5c34e1090fb200c4924,RecruiterSubmissionComplete,Notification
