arguments,vars,id,creation_time,failed,failed_reason,time_of_death,label,function,pending,finished,time_started,time_finished,time_taken,_unique_key,participant_id,trial_maker_id,network_id,node_id,trial_id,response_id,asset_id,type,redis_job_id,timeout,timeout_scheduled_for,cancelled,class,object_type
"{""function"": {""py/function"": ""psynet.recruiters.PsyNetProlificRecruiterMixin.check_assignment_return_status""}, ""participant"": {""py/object"": ""psynet.participant.Participant"", ""identifiers"": {""id"": 7}}}",{},1,2025-12-01 19:23:41,False,,,AsyncCodeBlock,"{""py/function"": ""psynet.utils.call_function_with_context""}",False,True,2025-12-01 19:23:41,2025-12-01 19:23:41,0.32062982299976284,,7,,,,,,,WorkerAsyncProcess,,,,False,WorkerAsyncProcess,AsyncProcess
"{""function"": {""py/function"": ""psynet.recruiters.PsyNetProlificRecruiterMixin.check_assignment_return_status""}, ""participant"": {""py/object"": ""psynet.participant.Participant"", ""identifiers"": {""id"": 7}}}",{},2,2025-12-01 19:24:12,False,,,AsyncCodeBlock,"{""py/function"": ""psynet.utils.call_function_with_context""}",False,True,2025-12-01 19:24:12,2025-12-01 19:24:12,0.3243151160004345,,7,,,,,,,WorkerAsyncProcess,,,,False,WorkerAsyncProcess,AsyncProcess
"{""function"": {""py/function"": ""psynet.recruiters.PsyNetProlificRecruiterMixin.check_assignment_return_status""}, ""participant"": {""py/object"": ""psynet.participant.Participant"", ""identifiers"": {""id"": 7}}}",{},3,2025-12-01 19:24:32,False,,,AsyncCodeBlock,"{""py/function"": ""psynet.utils.call_function_with_context""}",False,True,2025-12-01 19:24:32,2025-12-01 19:24:32,0.405783567999606,,7,,,,,,,WorkerAsyncProcess,,,,False,WorkerAsyncProcess,AsyncProcess
"{""function"": {""py/function"": ""psynet.recruiters.PsyNetProlificRecruiterMixin.check_assignment_return_status""}, ""participant"": {""py/object"": ""psynet.participant.Participant"", ""identifiers"": {""id"": 41}}}",{},4,2025-12-01 21:02:23,False,,,AsyncCodeBlock,"{""py/function"": ""psynet.utils.call_function_with_context""}",False,True,2025-12-01 21:02:24,2025-12-01 21:02:24,0.33165478899900336,,41,,,,,,,WorkerAsyncProcess,,,,False,WorkerAsyncProcess,AsyncProcess
"{""function"": {""py/function"": ""psynet.recruiters.PsyNetProlificRecruiterMixin.check_assignment_return_status""}, ""participant"": {""py/object"": ""psynet.participant.Participant"", ""identifiers"": {""id"": 41}}}",{},5,2025-12-01 21:04:14,False,,,AsyncCodeBlock,"{""py/function"": ""psynet.utils.call_function_with_context""}",False,True,2025-12-01 21:04:14,2025-12-01 21:04:14,0.33421011900099984,,41,,,,,,,WorkerAsyncProcess,,,,False,WorkerAsyncProcess,AsyncProcess
"{""function"": {""py/function"": ""psynet.recruiters.PsyNetProlificRecruiterMixin.check_assignment_return_status""}, ""participant"": {""py/object"": ""psynet.participant.Participant"", ""identifiers"": {""id"": 151}}}",{},6,2025-12-02 21:42:12,False,,,AsyncCodeBlock,"{""py/function"": ""psynet.utils.call_function_with_context""}",False,True,2025-12-02 21:42:12,2025-12-02 21:42:12,0.3182073829957517,,151,,,,,,,WorkerAsyncProcess,,,,False,WorkerAsyncProcess,AsyncProcess
"{""function"": {""py/function"": ""psynet.recruiters.PsyNetProlificRecruiterMixin.check_assignment_return_status""}, ""participant"": {""py/object"": ""psynet.participant.Participant"", ""identifiers"": {""id"": 151}}}",{},7,2025-12-02 21:42:26,False,,,AsyncCodeBlock,"{""py/function"": ""psynet.utils.call_function_with_context""}",False,True,2025-12-02 21:42:26,2025-12-02 21:42:26,0.37526732998958323,,151,,,,,,,WorkerAsyncProcess,,,,False,WorkerAsyncProcess,AsyncProcess
"{""function"": {""py/function"": ""psynet.recruiters.PsyNetProlificRecruiterMixin.check_assignment_return_status""}, ""participant"": {""py/object"": ""psynet.participant.Participant"", ""identifiers"": {""id"": 151}}}",{},8,2025-12-02 21:43:20,False,,,AsyncCodeBlock,"{""py/function"": ""psynet.utils.call_function_with_context""}",False,True,2025-12-02 21:43:20,2025-12-02 21:43:21,0.33060137399297673,,151,,,,,,,WorkerAsyncProcess,,,,False,WorkerAsyncProcess,AsyncProcess
"{""function"": {""py/function"": ""psynet.recruiters.PsyNetProlificRecruiterMixin.check_assignment_return_status""}, ""participant"": {""py/object"": ""psynet.participant.Participant"", ""identifiers"": {""id"": 151}}}",{},9,2025-12-02 21:44:45,False,,,AsyncCodeBlock,"{""py/function"": ""psynet.utils.call_function_with_context""}",False,True,2025-12-02 21:44:45,2025-12-02 21:44:45,0.30640560599567834,,151,,,,,,,WorkerAsyncProcess,,,,False,WorkerAsyncProcess,AsyncProcess
"{""function"": {""py/function"": ""psynet.recruiters.PsyNetProlificRecruiterMixin.check_assignment_return_status""}, ""participant"": {""py/object"": ""psynet.participant.Participant"", ""identifiers"": {""id"": 149}}}",{},10,2025-12-02 21:45:58,False,,,AsyncCodeBlock,"{""py/function"": ""psynet.utils.call_function_with_context""}",False,True,2025-12-02 21:45:58,2025-12-02 21:45:58,0.3372359490022063,,149,,,,,,,WorkerAsyncProcess,,,,False,WorkerAsyncProcess,AsyncProcess
