trial_id,participant_id,chain_id,domain,round_num,score,n_actions,chain_pos,condition
1,6,29,decorations,1,45.0,3,1,chain
1,6,29,decorations,2,0.0,5,1,chain
1,6,29,decorations,3,45.0,3,1,chain
1,6,29,decorations,4,50.0,2,1,chain
1,6,29,decorations,5,0.0,3,1,chain
1,6,29,decorations,6,0.0,2,1,chain
1,6,29,decorations,7,45.0,2,1,chain
1,6,29,decorations,8,30.0,1,1,chain
1,6,29,decorations,9,20.0,2,1,chain
1,6,29,decorations,10,50.0,2,1,chain
3,9,61,potions,1,100.0,6,1,chain
3,9,61,potions,2,0.0,7,1,chain
3,9,61,potions,3,0.0,10,1,chain
3,9,61,potions,4,0.0,9,1,chain
3,9,61,potions,5,100.0,5,1,chain
3,9,61,potions,6,30.0,4,1,chain
3,9,61,potions,7,30.0,8,1,chain
3,9,61,potions,8,60.0,5,1,chain
3,9,61,potions,9,100.0,5,1,chain
3,9,61,potions,10,30.0,5,1,chain
5,6,48,animals,1,0.0,2,1,chain
5,6,48,animals,2,0.0,2,1,chain
5,6,48,animals,3,5.0,1,1,chain
5,6,48,animals,4,5.0,1,1,chain
5,6,48,animals,5,5.0,1,1,chain
5,6,48,animals,6,0.0,3,1,chain
5,6,48,animals,7,0.0,1,1,chain
5,6,48,animals,8,20.0,3,1,chain
5,6,48,animals,9,25.0,2,1,chain
5,6,48,animals,10,25.0,2,1,chain
7,3,55,animals,1,25.0,31,1,chain
7,3,55,animals,2,0.0,17,1,chain
7,3,55,animals,3,85.0,16,1,chain
7,3,55,animals,4,80.0,14,1,chain
7,3,55,animals,5,0.0,14,1,chain
7,3,55,animals,6,0.0,16,1,chain
7,3,55,animals,7,0.0,9,1,chain
7,3,55,animals,8,0.0,9,1,chain
7,3,55,animals,9,75.0,20,1,chain
7,3,55,animals,10,90.0,22,1,chain
8,9,34,decorations,1,50.0,6,1,chain
8,9,34,decorations,2,25.0,6,1,chain
8,9,34,decorations,3,20.0,6,1,chain
8,9,34,decorations,4,0.0,7,1,chain
8,9,34,decorations,5,0.0,6,1,chain
8,9,34,decorations,6,0.0,9,1,chain
8,9,34,decorations,7,25.0,7,1,chain
8,9,34,decorations,8,0.0,8,1,chain
8,9,34,decorations,9,25.0,7,1,chain
8,9,34,decorations,10,20.0,6,1,chain
9,6,63,potions,1,0.0,3,1,chain
9,6,63,potions,2,0.0,4,1,chain
9,6,63,potions,3,0.0,2,1,chain
9,6,63,potions,4,60.0,4,1,chain
9,6,63,potions,5,60.0,5,1,chain
9,6,63,potions,6,30.0,7,1,chain
9,6,63,potions,7,100.0,5,1,chain
9,6,63,potions,8,30.0,6,1,chain
9,6,63,potions,9,60.0,6,1,chain
9,6,63,potions,10,60.0,6,1,chain
13,6,17,cooking,1,40.0,4,1,chain
13,6,17,cooking,2,40.0,3,1,chain
13,6,17,cooking,3,20.0,4,1,chain
13,6,17,cooking,4,0.0,4,1,chain
13,6,17,cooking,5,40.0,2,1,chain
13,6,17,cooking,6,40.0,3,1,chain
13,6,17,cooking,7,0.0,4,1,chain
13,6,17,cooking,8,40.0,3,1,chain
13,6,17,cooking,9,0.0,4,1,chain
13,6,17,cooking,10,40.0,3,1,chain
15,9,44,animals,1,0.0,8,1,chain
15,9,44,animals,2,25.0,6,1,chain
15,9,44,animals,3,15.0,6,1,chain
15,9,44,animals,4,0.0,9,1,chain
15,9,44,animals,5,25.0,7,1,chain
15,9,44,animals,6,40.0,6,1,chain
15,9,44,animals,7,45.0,6,1,chain
15,9,44,animals,8,0.0,7,1,chain
15,9,44,animals,9,40.0,8,1,chain
15,9,44,animals,10,40.0,10,1,chain
16,3,36,decorations,1,0.0,8,1,chain
16,3,36,decorations,2,0.0,18,1,chain
16,3,36,decorations,3,0.0,11,1,chain
16,3,36,decorations,4,0.0,7,1,chain
