trial_id,participant_id,chain_id,domain,round_num,score,n_actions,chain_pos,condition,score_efficiency,round_num_abs,round_num_abs_centered,participant_or_chain_id
1,6,29,decorations,1,45.0,3,1,chain,15.0,1,-19.352459016393443,chain_29
1,6,29,decorations,2,0.0,5,1,chain,0.0,2,-18.352459016393443,chain_29
1,6,29,decorations,3,45.0,3,1,chain,15.0,3,-17.352459016393443,chain_29
1,6,29,decorations,4,50.0,2,1,chain,25.0,4,-16.352459016393443,chain_29
1,6,29,decorations,5,0.0,3,1,chain,0.0,5,-15.352459016393443,chain_29
1,6,29,decorations,6,0.0,2,1,chain,0.0,6,-14.352459016393443,chain_29
1,6,29,decorations,7,45.0,2,1,chain,22.5,7,-13.352459016393443,chain_29
1,6,29,decorations,8,30.0,1,1,chain,30.0,8,-12.352459016393443,chain_29
1,6,29,decorations,9,20.0,2,1,chain,10.0,9,-11.352459016393443,chain_29
1,6,29,decorations,10,50.0,2,1,chain,25.0,10,-10.352459016393443,chain_29
3,9,61,potions,1,100.0,6,1,chain,16.666666666666668,1,-19.352459016393443,chain_61
3,9,61,potions,2,0.0,7,1,chain,0.0,2,-18.352459016393443,chain_61
3,9,61,potions,3,0.0,10,1,chain,0.0,3,-17.352459016393443,chain_61
3,9,61,potions,4,0.0,9,1,chain,0.0,4,-16.352459016393443,chain_61
3,9,61,potions,5,100.0,5,1,chain,20.0,5,-15.352459016393443,chain_61
3,9,61,potions,6,30.0,4,1,chain,7.5,6,-14.352459016393443,chain_61
3,9,61,potions,7,30.0,8,1,chain,3.75,7,-13.352459016393443,chain_61
3,9,61,potions,8,60.0,5,1,chain,12.0,8,-12.352459016393443,chain_61
3,9,61,potions,9,100.0,5,1,chain,20.0,9,-11.352459016393443,chain_61
3,9,61,potions,10,30.0,5,1,chain,6.0,10,-10.352459016393443,chain_61
5,6,48,animals,1,0.0,2,1,chain,0.0,1,-19.352459016393443,chain_48
5,6,48,animals,2,0.0,2,1,chain,0.0,2,-18.352459016393443,chain_48
5,6,48,animals,3,5.0,1,1,chain,5.0,3,-17.352459016393443,chain_48
5,6,48,animals,4,5.0,1,1,chain,5.0,4,-16.352459016393443,chain_48
5,6,48,animals,5,5.0,1,1,chain,5.0,5,-15.352459016393443,chain_48
5,6,48,animals,6,0.0,3,1,chain,0.0,6,-14.352459016393443,chain_48
5,6,48,animals,7,0.0,1,1,chain,0.0,7,-13.352459016393443,chain_48
5,6,48,animals,8,20.0,3,1,chain,6.666666666666667,8,-12.352459016393443,chain_48
5,6,48,animals,9,25.0,2,1,chain,12.5,9,-11.352459016393443,chain_48
5,6,48,animals,10,25.0,2,1,chain,12.5,10,-10.352459016393443,chain_48
7,3,55,animals,1,25.0,31,1,chain,0.8064516129032258,1,-19.352459016393443,chain_55
7,3,55,animals,2,0.0,17,1,chain,0.0,2,-18.352459016393443,chain_55
7,3,55,animals,3,85.0,16,1,chain,5.3125,3,-17.352459016393443,chain_55
7,3,55,animals,4,80.0,14,1,chain,5.714285714285714,4,-16.352459016393443,chain_55
7,3,55,animals,5,0.0,14,1,chain,0.0,5,-15.352459016393443,chain_55
7,3,55,animals,6,0.0,16,1,chain,0.0,6,-14.352459016393443,chain_55
7,3,55,animals,7,0.0,9,1,chain,0.0,7,-13.352459016393443,chain_55
7,3,55,animals,8,0.0,9,1,chain,0.0,8,-12.352459016393443,chain_55
7,3,55,animals,9,75.0,20,1,chain,3.75,9,-11.352459016393443,chain_55
7,3,55,animals,10,90.0,22,1,chain,4.090909090909091,10,-10.352459016393443,chain_55
8,9,34,decorations,1,50.0,6,1,chain,8.333333333333334,1,-19.352459016393443,chain_34
8,9,34,decorations,2,25.0,6,1,chain,4.166666666666667,2,-18.352459016393443,chain_34
8,9,34,decorations,3,20.0,6,1,chain,3.3333333333333335,3,-17.352459016393443,chain_34
8,9,34,decorations,4,0.0,7,1,chain,0.0,4,-16.352459016393443,chain_34
8,9,34,decorations,5,0.0,6,1,chain,0.0,5,-15.352459016393443,chain_34
8,9,34,decorations,6,0.0,9,1,chain,0.0,6,-14.352459016393443,chain_34
8,9,34,decorations,7,25.0,7,1,chain,3.5714285714285716,7,-13.352459016393443,chain_34
8,9,34,decorations,8,0.0,8,1,chain,0.0,8,-12.352459016393443,chain_34
8,9,34,decorations,9,25.0,7,1,chain,3.5714285714285716,9,-11.352459016393443,chain_34
8,9,34,decorations,10,20.0,6,1,chain,3.3333333333333335,10,-10.352459016393443,chain_34
9,6,63,potions,1,0.0,3,1,chain,0.0,1,-19.352459016393443,chain_63
9,6,63,potions,2,0.0,4,1,chain,0.0,2,-18.352459016393443,chain_63
9,6,63,potions,3,0.0,2,1,chain,0.0,3,-17.352459016393443,chain_63
9,6,63,potions,4,60.0,4,1,chain,15.0,4,-16.352459016393443,chain_63
9,6,63,potions,5,60.0,5,1,chain,12.0,5,-15.352459016393443,chain_63
9,6,63,potions,6,30.0,7,1,chain,4.285714285714286,6,-14.352459016393443,chain_63
9,6,63,potions,7,100.0,5,1,chain,20.0,7,-13.352459016393443,chain_63
