vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,participant_group,in_repeat_phase,performance_check,trials_to_repeat,repeat_trial_index,n_created_trials,n_completed_trials,trial_maker_initialized,block_order,block_position,block,participated_networks,n_participant_trials_in_trial_maker,n_participant_trials_in_block,class,object_type
{},2026-01-21 23:18:22,False,,,7,crafting_game_trial,1,2026-01-21 23:18:22,2026-01-21 23:32:01,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""animals"", ""potions"", ""cooking"", ""decorations""]",3,decorations,"[23, 4, 1, 10]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-21 23:26:52,False,,,35,crafting_game_trial,8,2026-01-21 23:26:52,2026-01-21 23:34:30,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""animals"", ""decorations"", ""potions"", ""cooking""]",3,cooking,"[19, 18, 24, 21]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-21 23:27:36,False,,,38,crafting_game_trial,9,2026-01-21 23:27:36,2026-01-21 23:42:55,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""animals"", ""decorations"", ""potions"", ""cooking""]",3,cooking,"[3, 22, 8, 1]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-21 23:28:12,False,,,40,crafting_game_trial,6,2026-01-21 23:28:12,2026-01-21 23:41:46,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""animals"", ""cooking"", ""decorations"", ""potions""]",3,potions,"[27, 17, 26, 16]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-21 23:28:24,False,,,43,crafting_game_trial,3,2026-01-21 23:28:24,2026-01-21 23:41:23,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""potions"", ""animals"", ""cooking"", ""decorations""]",3,decorations,"[20, 7, 13, 2]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-21 23:28:45,False,,,46,crafting_game_trial,5,2026-01-21 23:28:45,2026-01-21 23:37:13,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""decorations"", ""cooking"", ""animals"", ""potions""]",3,potions,"[6, 25, 19, 12]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-21 23:29:29,False,,,50,crafting_game_trial,4,2026-01-21 23:29:29,2026-01-21 23:39:48,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""potions"", ""animals"", ""decorations"", ""cooking""]",3,cooking,"[28, 11, 14, 5]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-21 23:29:49,False,,,51,crafting_game_trial,7,2026-01-21 23:29:49,,,True,False,False,ChainTrialMakerState,default,False,,,,2,1,True,"[""animals"", ""cooking"", ""potions"", ""decorations""]",1,cooking,[15],2,1,ChainTrialMakerState,ModuleState
{},2026-01-21 23:30:55,False,,,54,crafting_game_trial,11,2026-01-21 23:30:55,2026-01-21 23:54:57,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""cooking"", ""animals"", ""potions"", ""decorations""]",3,decorations,"[9, 11, 16, 18]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-21 23:37:12,False,,,61,crafting_game_trial,12,2026-01-21 23:37:12,2026-01-21 23:54:15,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""animals"", ""decorations"", ""potions"", ""cooking""]",3,cooking,"[3, 14, 4, 17]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-21 23:39:00,False,,,64,crafting_game_trial,10,2026-01-21 23:39:00,2026-01-22 00:05:16,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""cooking"", ""animals"", ""potions"", ""decorations""]",3,decorations,"[21, 27, 24, 22]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-21 23:47:51,False,,,71,crafting_game_trial,15,2026-01-21 23:47:51,2026-01-22 00:04:06,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""cooking"", ""potions"", ""decorations"", ""animals""]",3,animals,"[9, 12, 2, 7]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-21 23:51:50,False,,,76,crafting_game_trial,13,2026-01-21 23:51:50,2026-01-22 00:01:47,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""potions"", ""cooking"", ""decorations"", ""animals""]",3,animals,"[8, 25, 10, 15]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-21 23:56:07,False,,,79,crafting_game_trial,16,2026-01-21 23:56:07,2026-01-22 00:03:29,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""decorations"", ""potions"", ""cooking"", ""animals""]",3,animals,"[26, 28, 13, 23]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-22 00:07:21,False,,,84,crafting_game_trial,18,2026-01-22 00:07:21,2026-01-22 00:30:06,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""cooking"", ""animals"", ""decorations"", ""potions""]",3,potions,"[21, 7, 18, 16]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-22 00:14:47,False,,,104,crafting_game_trial,19,2026-01-22 00:14:47,2026-01-22 00:24:49,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""animals"", ""cooking"", ""potions"", ""decorations""]",3,decorations,"[27, 17, 8, 22]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-22 00:15:28,False,,,106,crafting_game_trial,24,2026-01-22 00:15:28,2026-01-22 00:25:54,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""decorations"", ""cooking"", ""potions"", ""animals""]",3,animals,"[6, 13, 20, 15]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-22 00:18:32,False,,,118,crafting_game_trial,25,2026-01-22 00:18:32,2026-01-22 00:39:42,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""cooking"", ""decorations"", ""potions"", ""animals""]",3,animals,"[25, 10, 24, 11]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-22 00:19:01,False,,,120,crafting_game_trial,23,2026-01-22 00:19:01,2026-01-22 00:32:07,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""decorations"", ""cooking"", ""animals"", ""potions""]",3,potions,"[6, 9, 3, 4]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-22 00:19:47,False,,,123,crafting_game_trial,21,2026-01-22 00:19:47,2026-01-22 00:27:29,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""decorations"", ""animals"", ""potions"", ""cooking""]",3,cooking,"[2, 19, 20, 5]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-22 00:20:37,False,,,125,crafting_game_trial,22,2026-01-22 00:20:37,2026-01-22 00:35:40,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""animals"", ""potions"", ""cooking"", ""decorations""]",3,decorations,"[23, 12, 1, 26]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-22 00:28:59,False,,,130,crafting_game_trial,28,2026-01-22 00:28:59,2026-01-22 00:41:25,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""decorations"", ""potions"", ""animals"", ""cooking""]",3,cooking,"[14, 28, 15, 5]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-22 00:37:33,False,,,138,crafting_game_trial,30,2026-01-22 00:37:33,2026-01-22 00:52:00,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""cooking"", ""animals"", ""decorations"", ""potions""]",3,potions,"[25, 15, 14, 16]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-22 00:44:23,False,,,144,crafting_game_trial,31,2026-01-22 00:44:23,2026-01-22 00:53:55,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""animals"", ""potions"", ""cooking"", ""decorations""]",3,decorations,"[19, 20, 9, 2]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-22 00:51:32,False,,,150,crafting_game_trial,33,2026-01-22 00:51:32,2026-01-22 01:16:08,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""decorations"", ""animals"", ""cooking"", ""potions""]",3,potions,"[6, 27, 17, 4]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-22 01:17:48,False,,,159,crafting_game_trial,36,2026-01-22 01:17:47,2026-01-22 01:34:11,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""potions"", ""cooking"", ""animals"", ""decorations""]",3,decorations,"[24, 21, 23, 26]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-22 01:23:19,False,,,171,crafting_game_trial,37,2026-01-22 01:23:19,2026-01-22 01:35:20,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""animals"", ""decorations"", ""cooking"", ""potions""]",3,potions,"[11, 10, 1, 12]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-22 01:28:25,False,,,183,crafting_game_trial,40,2026-01-22 01:28:25,2026-01-22 01:41:51,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""potions"", ""animals"", ""cooking"", ""decorations""]",3,decorations,"[28, 7, 13, 18]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-22 01:38:12,False,,,194,crafting_game_trial,44,2026-01-22 01:38:12,2026-01-22 01:56:37,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""animals"", ""decorations"", ""potions"", ""cooking""]",3,cooking,"[3, 22, 8, 25]",4,1,ChainTrialMakerState,ModuleState
{},2026-01-22 01:51:22,False,,,209,crafting_game_trial,47,2026-01-22 01:51:22,2026-01-22 02:03:57,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""cooking"", ""animals"", ""potions"", ""decorations""]",3,decorations,"[5, 3, 24, 2]",4,1,ChainTrialMakerState,ModuleState
