vars,id,creation_time,failed,failed_reason,time_of_death,type,max_size,full,role,n_pending_infos,n_completed_infos,n_failed_infos,n_alive_nodes,n_failed_nodes,trial_maker_id,module_id,target_n_trials,participant_group,sync_group_type,sync_group_id,participant_id,async_post_grow_network_required,async_post_grow_network_requested,async_post_grow_network_complete,async_post_grow_network_failed,id_within_participant,n_all_trials,n_alive_trials,n_failed_trials,n_completed_trials,n_all_nodes,chain_type,head_id,trials_per_node,definition,context,block,class,object_type
{},1,2026-01-21 15:02:24,False,,,StaticNetwork,1,True,default,0,20,1,2,0,crafting_game_trial,crafting_game_trial,20,default,,,,False,False,False,False,,21,20,1,20,2,across,32,20,{},,cooking,StaticNetwork,Network
{},2,2026-01-21 15:02:24,False,,,StaticNetwork,1,True,default,0,20,1,2,0,crafting_game_trial,crafting_game_trial,20,default,,,,False,False,False,False,,21,20,1,20,2,across,56,20,{},,decorations,StaticNetwork,Network
{},3,2026-01-21 15:02:24,False,,,StaticNetwork,1,True,default,0,20,1,2,0,crafting_game_trial,crafting_game_trial,20,default,,,,False,False,False,False,,21,20,1,20,2,across,42,20,{},,animals,StaticNetwork,Network
{},4,2026-01-21 15:02:24,False,,,StaticNetwork,1,True,default,0,20,1,2,0,crafting_game_trial,crafting_game_trial,20,default,,,,False,False,False,False,,21,20,1,20,2,across,49,20,{},,potions,StaticNetwork,Network
{},5,2026-01-21 15:02:24,False,,,StaticNetwork,1,True,default,0,20,2,2,0,crafting_game_trial,crafting_game_trial,20,default,,,,False,False,False,False,,22,20,2,20,2,across,47,20,{},,cooking,StaticNetwork,Network
{},6,2026-01-21 15:02:24,False,,,StaticNetwork,1,True,default,0,20,1,2,0,crafting_game_trial,crafting_game_trial,20,default,,,,False,False,False,False,,21,20,1,20,2,across,45,20,{},,decorations,StaticNetwork,Network
{},7,2026-01-21 15:02:24,False,,,StaticNetwork,1,True,default,0,20,2,2,0,crafting_game_trial,crafting_game_trial,20,default,,,,False,False,False,False,,22,20,2,20,2,across,43,20,{},,animals,StaticNetwork,Network
{},8,2026-01-21 15:02:24,False,,,StaticNetwork,1,True,default,0,20,2,2,0,crafting_game_trial,crafting_game_trial,20,default,,,,False,False,False,False,,22,20,2,20,2,across,46,20,{},,potions,StaticNetwork,Network
{},9,2026-01-21 15:02:24,False,,,StaticNetwork,1,True,default,0,20,1,2,0,crafting_game_trial,crafting_game_trial,20,default,,,,False,False,False,False,,21,20,1,20,2,across,37,20,{},,cooking,StaticNetwork,Network
{},10,2026-01-21 15:02:24,False,,,StaticNetwork,1,True,default,0,20,0,2,0,crafting_game_trial,crafting_game_trial,20,default,,,,False,False,False,False,,20,20,0,20,2,across,41,20,{},,decorations,StaticNetwork,Network
{},11,2026-01-21 15:02:24,False,,,StaticNetwork,1,True,default,0,20,1,2,0,crafting_game_trial,crafting_game_trial,20,default,,,,False,False,False,False,,21,20,1,20,2,across,30,20,{},,animals,StaticNetwork,Network
{},12,2026-01-21 15:02:24,False,,,StaticNetwork,1,True,default,0,20,2,2,0,crafting_game_trial,crafting_game_trial,20,default,,,,False,False,False,False,,22,20,2,20,2,across,54,20,{},,potions,StaticNetwork,Network
{},13,2026-01-21 15:02:24,False,,,StaticNetwork,1,True,default,0,20,0,2,0,crafting_game_trial,crafting_game_trial,20,default,,,,False,False,False,False,,20,20,0,20,2,across,44,20,{},,cooking,StaticNetwork,Network
{},14,2026-01-21 15:02:24,False,,,StaticNetwork,1,True,default,0,20,2,2,0,crafting_game_trial,crafting_game_trial,20,default,,,,False,False,False,False,,22,20,2,20,2,across,48,20,{},,decorations,StaticNetwork,Network
{},15,2026-01-21 15:02:24,False,,,StaticNetwork,1,True,default,0,20,1,2,0,crafting_game_trial,crafting_game_trial,20,default,,,,False,False,False,False,,21,20,1,20,2,across,51,20,{},,animals,StaticNetwork,Network
{},16,2026-01-21 15:02:24,False,,,StaticNetwork,1,True,default,0,20,0,2,0,crafting_game_trial,crafting_game_trial,20,default,,,,False,False,False,False,,20,20,0,20,2,across,29,20,{},,potions,StaticNetwork,Network
{},17,2026-01-21 15:02:24,False,,,StaticNetwork,1,True,default,0,20,0,2,0,crafting_game_trial,crafting_game_trial,20,default,,,,False,False,False,False,,20,20,0,20,2,across,52,20,{},,cooking,StaticNetwork,Network
{},18,2026-01-21 15:02:24,False,,,StaticNetwork,1,True,default,0,20,1,2,0,crafting_game_trial,crafting_game_trial,20,default,,,,False,False,False,False,,21,20,1,20,2,across,38,20,{},,decorations,StaticNetwork,Network
