trial_id,participant_id,network_id,message_condition,message_condition_agg,domain,round_num,score,n_actions
1,1,23,second_worst,worst 2,animals,1,0.0,9
1,1,23,second_worst,worst 2,animals,2,15.0,4
1,1,23,second_worst,worst 2,animals,3,25.0,4
1,1,23,second_worst,worst 2,animals,4,25.0,4
1,1,23,second_worst,worst 2,animals,5,30.0,10
2,1,4,gold,gold,potions,1,100.0,6
2,1,4,gold,gold,potions,2,100.0,5
2,1,4,gold,gold,potions,3,100.0,5
2,1,4,gold,gold,potions,4,60.0,4
2,1,4,gold,gold,potions,5,100.0,6
3,1,1,gold,gold,cooking,1,80.0,6
3,1,1,gold,gold,cooking,2,100.0,7
3,1,1,gold,gold,cooking,3,100.0,7
3,1,1,gold,gold,cooking,4,100.0,7
3,1,1,gold,gold,cooking,5,100.0,9
4,8,19,worst,worst 2,animals,1,15.0,4
4,8,19,worst,worst 2,animals,2,15.0,6
4,8,19,worst,worst 2,animals,3,0.0,3
4,8,19,worst,worst 2,animals,4,15.0,4
4,8,19,worst,worst 2,animals,5,5.0,4
5,9,3,gold,gold,animals,1,0.0,6
5,9,3,gold,gold,animals,2,15.0,10
5,9,3,gold,gold,animals,3,0.0,3
5,9,3,gold,gold,animals,4,10.0,11
5,9,3,gold,gold,animals,5,0.0,15
6,6,27,none,none,animals,1,0.0,28
6,6,27,none,none,animals,2,60.0,12
6,6,27,none,none,animals,3,0.0,20
6,6,27,none,none,animals,4,0.0,17
6,6,27,none,none,animals,5,65.0,10
7,3,20,worst,worst 2,potions,1,0.0,3
7,3,20,worst,worst 2,potions,2,0.0,2
7,3,20,worst,worst 2,potions,3,30.0,2
7,3,20,worst,worst 2,potions,4,0.0,3
7,3,20,worst,worst 2,potions,5,0.0,2
8,5,6,best,best 3,decorations,1,45.0,4
8,5,6,best,best 3,decorations,2,0.0,5
8,5,6,best,best 3,decorations,3,50.0,2
8,5,6,best,best 3,decorations,4,45.0,3
8,5,6,best,best 3,decorations,5,0.0,7
9,8,18,worst,worst 2,decorations,1,25.0,4
