vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,participant_group,in_repeat_phase,performance_check,trials_to_repeat,repeat_trial_index,n_created_trials,n_completed_trials,trial_maker_initialized,block_order,block_position,block,participated_networks,n_participant_trials_in_trial_maker,n_participant_trials_in_block,class,object_type
{},2025-10-28 19:02:32,False,,,8,chain_trial,1,2025-10-28 19:02:32,,,True,False,False,ChainTrialMakerState,default,False,,,,1,0,True,"[""potions"", ""animals"", ""cooking"", ""decorations""]",0,potions,[],1,1,ChainTrialMakerState,ModuleState
{},2025-10-28 19:07:21,False,,,12,chain_trial,2,2025-10-28 19:07:21,2025-10-28 19:27:07,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""decorations"", ""animals"", ""cooking"", ""potions""]",3,potions,"[4, 5, 1, 7]",4,1,ChainTrialMakerState,ModuleState
{},2025-10-28 19:17:35,False,,,26,chain_trial,3,2025-10-28 19:17:35,2025-10-28 20:05:09,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""cooking"", ""potions"", ""animals"", ""decorations""]",3,decorations,"[2, 7, 5, 3]",4,1,ChainTrialMakerState,ModuleState
{},2025-10-28 19:18:11,False,,,28,chain_trial,5,2025-10-28 19:18:11,,,True,False,False,ChainTrialMakerState,default,False,,,,1,0,True,"[""animals"", ""cooking"", ""decorations"", ""potions""]",0,animals,[],1,1,ChainTrialMakerState,ModuleState
{},2025-10-28 19:21:25,False,,,31,chain_trial,4,2025-10-28 19:21:25,2025-10-28 19:36:05,,True,True,False,ChainTrialMakerState,default,False,,,,3,3,True,"[""cooking"", ""decorations"", ""animals"", ""potions""]",3,potions,"[3, 4, 5]",3,0,ChainTrialMakerState,ModuleState
{},2025-10-28 19:25:21,False,,,33,individual_task,6,2025-10-28 19:25:21,2025-10-28 19:44:58,,True,True,False,ChainTrialMakerState,default,False,,,,1,1,True,"[""cooking"", ""potions"", ""animals"", ""decorations""]",0,cooking,[9],1,1,ChainTrialMakerState,ModuleState
{},2025-10-28 19:40:53,False,,,41,chain_trial,8,2025-10-28 19:40:53,2025-10-28 19:54:59,,True,True,False,ChainTrialMakerState,default,False,,,,3,3,True,"[""potions"", ""cooking"", ""decorations"", ""animals""]",3,animals,"[1, 2, 3]",3,0,ChainTrialMakerState,ModuleState
{},2025-10-28 19:51:20,False,,,52,individual_task,10,2025-10-28 19:51:20,2025-10-28 20:32:35,,True,True,False,ChainTrialMakerState,default,False,,,,1,1,True,"[""cooking"", ""animals"", ""potions"", ""decorations""]",0,cooking,[11],1,1,ChainTrialMakerState,ModuleState
{},2025-10-28 19:54:52,False,,,57,chain_trial,13,2025-10-28 19:54:52,2025-10-28 20:42:20,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""decorations"", ""potions"", ""animals"", ""cooking""]",3,cooking,"[4, 8, 5, 1]",4,1,ChainTrialMakerState,ModuleState
{},2025-10-28 19:56:38,False,,,59,individual_task,12,2025-10-28 19:56:38,2025-10-28 20:25:37,,True,True,False,ChainTrialMakerState,default,False,,,,1,1,True,"[""animals"", ""cooking"", ""potions"", ""decorations""]",0,animals,[12],1,1,ChainTrialMakerState,ModuleState
{},2025-10-28 20:06:08,False,,,64,individual_task,14,2025-10-28 20:06:08,2025-10-28 20:22:19,,True,True,False,ChainTrialMakerState,default,False,,,,1,1,True,"[""decorations"", ""potions"", ""cooking"", ""animals""]",0,decorations,[10],1,1,ChainTrialMakerState,ModuleState
{},2025-10-28 20:19:42,False,,,69,chain_trial,15,2025-10-28 20:19:42,,,True,False,False,ChainTrialMakerState,default,False,,,,1,0,True,"[""animals"", ""potions"", ""decorations"", ""cooking""]",0,animals,[],1,1,ChainTrialMakerState,ModuleState
{},2025-10-28 20:47:18,False,,,80,chain_trial,18,2025-10-28 20:47:18,2025-10-28 21:07:39,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""cooking"", ""animals"", ""decorations"", ""potions""]",3,potions,"[2, 3, 4, 8]",4,1,ChainTrialMakerState,ModuleState
{},2025-10-28 21:08:57,False,,,85,chain_trial,17,2025-10-28 21:08:57,2025-10-28 21:58:39,,True,True,False,ChainTrialMakerState,default,False,,,,1,1,True,"[""animals"", ""potions"", ""decorations"", ""cooking""]",1,potions,[7],1,0,ChainTrialMakerState,ModuleState
{},2025-10-28 21:17:34,False,,,91,chain_trial,19,2025-10-28 21:17:34,2025-10-28 21:39:43,,True,True,False,ChainTrialMakerState,default,False,,,,3,3,True,"[""potions"", ""animals"", ""cooking"", ""decorations""]",3,decorations,"[8, 6, 2]",3,0,ChainTrialMakerState,ModuleState
{},2025-10-28 21:34:24,False,,,96,chain_trial,21,2025-10-28 21:34:24,2025-10-28 21:59:01,,True,True,False,ChainTrialMakerState,default,False,,,,3,3,True,"[""animals"", ""cooking"", ""decorations"", ""potions""]",3,potions,"[6, 1, 8]",3,0,ChainTrialMakerState,ModuleState
{},2025-10-28 21:48:06,False,,,101,chain_trial,22,2025-10-28 21:48:06,2025-10-28 22:14:29,,True,True,False,ChainTrialMakerState,default,False,,,,2,2,True,"[""animals"", ""decorations"", ""potions"", ""cooking""]",2,potions,"[6, 7]",2,0,ChainTrialMakerState,ModuleState
