vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,module_state_id,is_global,on_deploy_complete,async_on_deploy_required,async_on_deploy_requested,async_on_deploy_complete,async_on_deploy_failed,key,degree,target_n_trials,ready_to_spawn,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
{},1,2025-10-28 11:52:59,False,,,TrialSource,1,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,15.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,cooking,False,1,MessagePassingNode,Node
{},2,2025-10-28 11:52:59,False,,,TrialSource,2,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,19.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,cooking,False,1,MessagePassingNode,Node
{},3,2025-10-28 11:52:59,False,,,TrialSource,3,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,16.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,decorations,False,1,MessagePassingNode,Node
{},4,2025-10-28 11:52:59,False,,,TrialSource,4,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,13.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,decorations,False,1,MessagePassingNode,Node
{},5,2025-10-28 11:52:59,False,,,TrialSource,5,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,14.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,animals,False,1,MessagePassingNode,Node
{},6,2025-10-28 11:52:59,False,,,TrialSource,6,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,40.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,animals,False,1,MessagePassingNode,Node
{},7,2025-10-28 11:52:59,False,,,TrialSource,7,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,17.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,potions,False,1,MessagePassingNode,Node
{},8,2025-10-28 11:52:59,False,,,TrialSource,8,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,29.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,potions,False,1,MessagePassingNode,Node
{},13,2025-10-28 19:12:51,False,,,MessagePassingNode,4,,chain_trial,chain_trial,,,True,False,False,False,False,,1,1,True,18.0,4.0,"{""messages"": [""I didn't have much luck.  Stay away from buttons""], ""inventories"": []}","{""messages"": [""I didn't have much luck.  Stay away from buttons""], ""inventories"": []}",,default,decorations,True,1,MessagePassingNode,Node
{},14,2025-10-28 19:17:33,False,,,MessagePassingNode,5,,chain_trial,chain_trial,,,True,False,False,False,False,,1,1,True,20.0,5.0,"{""messages"": [""Didn't do too well.  try to mutate different animals""], ""inventories"": []}","{""messages"": [""Didn't do too well.  try to mutate different animals""], ""inventories"": []}",,default,animals,True,1,MessagePassingNode,Node
{},15,2025-10-28 19:22:05,False,,,MessagePassingNode,1,,chain_trial,chain_trial,,,True,False,False,False,False,,1,1,True,23.0,1.0,"{""messages"": [""stay away from brocolli.  cook everything seperate and then add ingredients""], ""inventories"": []}","{""messages"": [""stay away from brocolli.  cook everything seperate and then add ingredients""], ""inventories"": []}",,default,cooking,True,1,MessagePassingNode,Node
{},16,2025-10-28 19:26:47,False,,,MessagePassingNode,3,,chain_trial,chain_trial,,,True,False,False,False,False,,1,1,True,25.0,3.0,"{""messages"": [""Be careful about what you combine with the frame as hard objects tend to ruin it and you lose out on points""], ""inventories"": []}","{""messages"": [""Be careful about what you combine with the frame as hard objects tend to ruin it and you lose out on points""], ""inventories"": []}",,default,decorations,True,1,MessagePassingNode,Node
