trial_id,participant_id,chain_id,domain,round_num,score,n_actions,chain_pos,condition,score_efficiency,round_num_abs,round_num_abs_centered,participant_or_chain_id
2,2,4,decorations,1,0.0,6,1,chain,0.0,1,-19.177350427350426,chain_4
2,2,4,decorations,2,0.0,3,1,chain,0.0,2,-18.177350427350426,chain_4
2,2,4,decorations,3,0.0,3,1,chain,0.0,3,-17.177350427350426,chain_4
2,2,4,decorations,4,0.0,5,1,chain,0.0,4,-16.177350427350426,chain_4
2,2,4,decorations,5,0.0,3,1,chain,0.0,5,-15.177350427350426,chain_4
2,2,4,decorations,6,0.0,5,1,chain,0.0,6,-14.177350427350426,chain_4
2,2,4,decorations,7,50.0,2,1,chain,25.0,7,-13.177350427350426,chain_4
2,2,4,decorations,8,0.0,10,1,chain,0.0,8,-12.177350427350426,chain_4
2,2,4,decorations,9,0.0,3,1,chain,0.0,9,-11.177350427350426,chain_4
2,2,4,decorations,10,0.0,6,1,chain,0.0,10,-10.177350427350426,chain_4
3,2,5,animals,1,0.0,7,1,chain,0.0,1,-19.177350427350426,chain_5
3,2,5,animals,2,30.0,7,1,chain,4.285714285714286,2,-18.177350427350426,chain_5
3,2,5,animals,3,0.0,9,1,chain,0.0,3,-17.177350427350426,chain_5
3,2,5,animals,4,0.0,2,1,chain,0.0,4,-16.177350427350426,chain_5
3,2,5,animals,5,10.0,1,1,chain,10.0,5,-15.177350427350426,chain_5
3,2,5,animals,6,0.0,4,1,chain,0.0,6,-14.177350427350426,chain_5
3,2,5,animals,7,10.0,6,1,chain,1.6666666666666667,7,-13.177350427350426,chain_5
3,2,5,animals,8,30.0,7,1,chain,4.285714285714286,8,-12.177350427350426,chain_5
3,2,5,animals,9,0.0,5,1,chain,0.0,9,-11.177350427350426,chain_5
3,2,5,animals,10,0.0,2,1,chain,0.0,10,-10.177350427350426,chain_5
4,2,1,cooking,1,40.0,3,1,chain,13.333333333333334,1,-19.177350427350426,chain_1
4,2,1,cooking,2,60.0,4,1,chain,15.0,2,-18.177350427350426,chain_1
4,2,1,cooking,3,100.0,6,1,chain,16.666666666666668,3,-17.177350427350426,chain_1
4,2,1,cooking,4,60.0,3,1,chain,20.0,4,-16.177350427350426,chain_1
4,2,1,cooking,5,0.0,8,1,chain,0.0,5,-15.177350427350426,chain_1
4,2,1,cooking,6,40.0,3,1,chain,13.333333333333334,6,-14.177350427350426,chain_1
4,2,1,cooking,7,60.0,3,1,chain,20.0,7,-13.177350427350426,chain_1
4,2,1,cooking,8,0.0,7,1,chain,0.0,8,-12.177350427350426,chain_1
4,2,1,cooking,9,60.0,3,1,chain,20.0,9,-11.177350427350426,chain_1
4,2,1,cooking,10,40.0,3,1,chain,13.333333333333334,10,-10.177350427350426,chain_1
5,3,2,cooking,1,20.0,9,1,chain,2.2222222222222223,1,-19.177350427350426,chain_2
5,3,2,cooking,2,80.0,9,1,chain,8.88888888888889,2,-18.177350427350426,chain_2
5,3,2,cooking,3,100.0,7,1,chain,14.285714285714286,3,-17.177350427350426,chain_2
5,3,2,cooking,4,20.0,8,1,chain,2.5,4,-16.177350427350426,chain_2
5,3,2,cooking,5,0.0,6,1,chain,0.0,5,-15.177350427350426,chain_2
5,3,2,cooking,6,100.0,6,1,chain,16.666666666666668,6,-14.177350427350426,chain_2
5,3,2,cooking,7,60.0,7,1,chain,8.571428571428571,7,-13.177350427350426,chain_2
5,3,2,cooking,8,100.0,8,1,chain,12.5,8,-12.177350427350426,chain_2
5,3,2,cooking,9,100.0,6,1,chain,16.666666666666668,9,-11.177350427350426,chain_2
5,3,2,cooking,10,20.0,8,1,chain,2.5,10,-10.177350427350426,chain_2
7,4,3,decorations,1,0.0,4,2,chain,0.0,11,-9.177350427350426,chain_3
7,4,3,decorations,2,0.0,3,2,chain,0.0,12,-8.177350427350426,chain_3
7,4,3,decorations,3,25.0,2,2,chain,12.5,13,-7.177350427350426,chain_3
