vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,participant_group,in_repeat_phase,performance_check,trials_to_repeat,repeat_trial_index,n_created_trials,n_completed_trials,trial_maker_initialized,block_order,block_position,block,participated_networks,n_participant_trials_in_trial_maker,n_participant_trials_in_block,class,object_type
{},2025-10-21 11:57:01,False,,,5,individual_task,1,2025-10-21 11:57:01,2025-10-21 11:57:45,,True,True,False,ChainTrialMakerState,default,False,,,,1,1,True,"[""cooking"", ""animals"", ""potions"", ""decorations""]",0,cooking,[5],1,1,ChainTrialMakerState,ModuleState
{},2025-10-21 12:00:25,False,,,10,chain_trial,2,2025-10-21 12:00:25,2025-10-21 12:01:30,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""cooking"", ""animals"", ""decorations"", ""potions""]",3,potions,"[1, 3, 2, 4]",4,1,ChainTrialMakerState,ModuleState
{},2025-10-21 12:04:47,False,,,15,individual_task,3,2025-10-21 12:04:47,2025-10-21 12:05:34,,True,True,False,ChainTrialMakerState,default,False,,,,1,1,True,"[""cooking"", ""animals"", ""potions"", ""decorations""]",0,cooking,[7],1,1,ChainTrialMakerState,ModuleState
{},2025-10-21 12:48:17,False,,,20,chain_trial,4,2025-10-21 12:48:17,2025-10-21 12:50:38,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""animals"", ""decorations"", ""potions"", ""cooking""]",3,cooking,"[3, 2, 4, 1]",4,1,ChainTrialMakerState,ModuleState
{},2025-10-21 12:51:26,False,,,25,individual_task,5,2025-10-21 12:51:26,2025-10-21 12:53:57,,True,True,False,ChainTrialMakerState,default,False,,,,1,1,True,"[""decorations"", ""animals"", ""cooking"", ""potions""]",0,decorations,[6],1,1,ChainTrialMakerState,ModuleState
{},2025-10-21 12:54:49,False,,,30,individual_task,6,2025-10-21 12:54:49,2025-10-21 12:55:38,,True,True,False,ChainTrialMakerState,default,False,,,,1,1,True,"[""potions"", ""decorations"", ""animals"", ""cooking""]",0,potions,[8],1,1,ChainTrialMakerState,ModuleState
{},2025-10-21 12:59:55,False,,,38,individual_task,8,2025-10-21 12:59:55,2025-10-21 12:59:55,,True,True,False,ChainTrialMakerState,default,False,,,,0,0,True,"[""decorations"", ""potions"", ""cooking"", ""animals""]",0,decorations,[],0,0,ChainTrialMakerState,ModuleState
{},2025-10-21 13:01:22,False,,,43,chain_trial,9,2025-10-21 13:01:22,2025-10-21 13:03:30,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""animals"", ""potions"", ""cooking"", ""decorations""]",3,decorations,"[3, 4, 1, 2]",4,1,ChainTrialMakerState,ModuleState
{},2025-10-21 13:04:39,False,,,48,chain_trial,10,2025-10-21 13:04:39,2025-10-21 13:06:55,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""animals"", ""cooking"", ""potions"", ""decorations""]",3,decorations,"[3, 1, 4, 2]",4,1,ChainTrialMakerState,ModuleState
{},2025-10-21 13:07:27,False,,,53,individual_task,11,2025-10-21 13:07:27,2025-10-21 13:07:27,,True,True,False,ChainTrialMakerState,default,False,,,,0,0,True,"[""decorations"", ""animals"", ""cooking"", ""potions""]",0,decorations,[],0,0,ChainTrialMakerState,ModuleState
