vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,destination_id,network_id,class,object_type
{},1,2025-10-21 11:57:45,False,,,ChainVector,5,9,5,ChainVector,Vector
{},2,2025-10-21 12:00:48,False,,,ChainVector,1,10,1,ChainVector,Vector
{},3,2025-10-21 12:01:02,False,,,ChainVector,3,11,3,ChainVector,Vector
{},4,2025-10-21 12:01:18,False,,,ChainVector,2,12,2,ChainVector,Vector
{},5,2025-10-21 12:01:30,False,,,ChainVector,4,13,4,ChainVector,Vector
{},6,2025-10-21 12:05:36,False,,,ChainVector,7,14,7,ChainVector,Vector
{},7,2025-10-21 12:49:15,False,,,ChainVector,11,15,3,ChainVector,Vector
{},8,2025-10-21 12:50:09,False,,,ChainVector,12,16,2,ChainVector,Vector
{},9,2025-10-21 12:50:25,False,,,ChainVector,13,17,4,ChainVector,Vector
{},10,2025-10-21 12:50:39,False,,,ChainVector,10,18,1,ChainVector,Vector
{},11,2025-10-21 12:53:59,False,,,ChainVector,6,19,6,ChainVector,Vector
{},12,2025-10-21 12:55:39,False,,,ChainVector,8,20,8,ChainVector,Vector
{},13,2025-10-21 13:02:37,False,,,ChainVector,15,21,3,ChainVector,Vector
{},14,2025-10-21 13:02:55,False,,,ChainVector,17,22,4,ChainVector,Vector
{},15,2025-10-21 13:03:11,False,,,ChainVector,18,23,1,ChainVector,Vector
{},16,2025-10-21 13:03:31,False,,,ChainVector,16,24,2,ChainVector,Vector
{},17,2025-10-21 13:05:07,False,,,ChainVector,21,25,3,ChainVector,Vector
{},18,2025-10-21 13:05:41,False,,,ChainVector,23,26,1,ChainVector,Vector
{},19,2025-10-21 13:06:27,False,,,ChainVector,22,27,4,ChainVector,Vector
{},20,2025-10-21 13:06:57,False,,,ChainVector,24,28,2,ChainVector,Vector
