vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,class,object_type
{},2025-10-21 11:56:26,False,,,1,consent,1,2025-10-21 11:56:26,2025-10-21 11:56:30,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 11:56:30,False,,,2,instructions,1,2025-10-21 11:56:30,2025-10-21 11:56:36,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 11:56:36,False,,,3,practice_rounds,1,2025-10-21 11:56:36,2025-10-21 11:57:00,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 11:57:00,False,,,4,individual_instructions,1,2025-10-21 11:57:00,2025-10-21 11:57:01,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 11:59:54,False,,,6,consent,2,2025-10-21 11:59:54,2025-10-21 11:59:56,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 11:59:56,False,,,7,instructions,2,2025-10-21 11:59:56,2025-10-21 11:59:59,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 11:59:59,False,,,8,practice_rounds,2,2025-10-21 11:59:59,2025-10-21 12:00:21,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:00:21,False,,,9,chain_instructions,2,2025-10-21 12:00:21,2025-10-21 12:00:25,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:01:55,False,,,11,consent,3,2025-10-21 12:01:55,2025-10-21 12:01:58,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:01:58,False,,,12,instructions,3,2025-10-21 12:01:58,2025-10-21 12:02:04,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:02:04,False,,,13,practice_rounds,3,2025-10-21 12:02:04,2025-10-21 12:04:45,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:04:45,False,,,14,individual_instructions,3,2025-10-21 12:04:45,2025-10-21 12:04:47,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:47:28,False,,,16,consent,4,2025-10-21 12:47:28,2025-10-21 12:47:31,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:47:31,False,,,17,instructions,4,2025-10-21 12:47:31,2025-10-21 12:47:34,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:47:34,False,,,18,practice_rounds,4,2025-10-21 12:47:34,2025-10-21 12:48:16,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:48:16,False,,,19,chain_instructions,4,2025-10-21 12:48:16,2025-10-21 12:48:17,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:51:06,False,,,21,consent,5,2025-10-21 12:51:06,2025-10-21 12:51:08,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:51:08,False,,,22,instructions,5,2025-10-21 12:51:08,2025-10-21 12:51:11,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:51:11,False,,,23,practice_rounds,5,2025-10-21 12:51:11,2025-10-21 12:51:24,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:51:24,False,,,24,individual_instructions,5,2025-10-21 12:51:24,2025-10-21 12:51:26,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:54:12,False,,,26,consent,6,2025-10-21 12:54:12,2025-10-21 12:54:14,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:54:14,False,,,27,instructions,6,2025-10-21 12:54:14,2025-10-21 12:54:26,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:54:26,False,,,28,practice_rounds,6,2025-10-21 12:54:26,2025-10-21 12:54:47,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:54:47,False,,,29,individual_instructions,6,2025-10-21 12:54:47,2025-10-21 12:54:49,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:57:37,False,,,31,consent,7,2025-10-21 12:57:37,2025-10-21 12:57:40,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:57:40,False,,,32,instructions,7,2025-10-21 12:57:40,2025-10-21 12:57:43,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:57:43,False,,,33,practice_rounds,7,2025-10-21 12:57:43,2025-10-21 12:58:04,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:59:15,False,,,34,consent,8,2025-10-21 12:59:15,2025-10-21 12:59:18,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:59:18,False,,,35,instructions,8,2025-10-21 12:59:18,2025-10-21 12:59:21,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:59:21,False,,,36,practice_rounds,8,2025-10-21 12:59:21,2025-10-21 12:59:53,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 12:59:53,False,,,37,individual_instructions,8,2025-10-21 12:59:53,2025-10-21 12:59:55,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 13:01:03,False,,,39,consent,9,2025-10-21 13:01:03,2025-10-21 13:01:05,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 13:01:06,False,,,40,instructions,9,2025-10-21 13:01:05,2025-10-21 13:01:09,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 13:01:09,False,,,41,practice_rounds,9,2025-10-21 13:01:09,2025-10-21 13:01:21,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 13:01:21,False,,,42,chain_instructions,9,2025-10-21 13:01:21,2025-10-21 13:01:22,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 13:04:15,False,,,44,consent,10,2025-10-21 13:04:15,2025-10-21 13:04:19,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 13:04:19,False,,,45,instructions,10,2025-10-21 13:04:19,2025-10-21 13:04:21,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 13:04:21,False,,,46,practice_rounds,10,2025-10-21 13:04:21,2025-10-21 13:04:38,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 13:04:38,False,,,47,chain_instructions,10,2025-10-21 13:04:38,2025-10-21 13:04:39,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 13:07:10,False,,,49,consent,11,2025-10-21 13:07:10,2025-10-21 13:07:12,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 13:07:12,False,,,50,instructions,11,2025-10-21 13:07:12,2025-10-21 13:07:15,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 13:07:15,False,,,51,practice_rounds,11,2025-10-21 13:07:15,2025-10-21 13:07:26,,True,True,False,ModuleState,ModuleState,ModuleState
{},2025-10-21 13:07:26,False,,,52,individual_instructions,11,2025-10-21 13:07:26,2025-10-21 13:07:27,,True,True,False,ModuleState,ModuleState,ModuleState
